sync_key,status,collect_time
official_alibaba|59900004808,NEW,2026-03-17 01:00:03
official_alibaba|59900003730,NEW,2026-03-17 01:00:03
official_alibaba|199901660004,NEW,2026-03-17 01:00:03
official_alibaba|199900320061,NEW,2026-03-17 01:00:03
official_alibaba|59900004705,NEW,2026-03-17 01:00:03
official_alibaba|59900004423,NEW,2026-03-17 01:00:03
official_alibaba|59900004904,NEW,2026-03-17 01:00:03
official_alibaba|59900004424,NEW,2026-03-17 01:00:03
official_alibaba|59900005202,NEW,2026-03-17 01:00:03
official_alibaba|59900005301,NEW,2026-03-17 01:00:03
official_alibaba|59900004905,NEW,2026-03-17 01:00:03
official_alibaba|59900006704,NEW,2026-03-17 01:00:03
official_alibaba|59900005507,NEW,2026-03-17 01:00:03
official_alibaba|59900003732,NEW,2026-03-17 01:00:03
official_alibaba|59900004804,NEW,2026-03-17 01:00:03
official_alibaba|59900004710,NEW,2026-03-17 01:00:03
official_alibaba|59900004707,NEW,2026-03-17 01:00:03
official_alibaba|59900003736,NEW,2026-03-17 01:00:03
official_alibaba|59900004604,NEW,2026-03-17 01:00:03
official_alibaba|59900003741,NEW,2026-03-17 01:00:03
official_alibaba|59900005603,NEW,2026-03-17 01:00:03
official_alibaba|59900004805,NEW,2026-03-17 01:00:03
official_alibaba|59900005403,NEW,2026-03-17 01:00:03
official_alibaba|59900005402,NEW,2026-03-17 01:00:03
official_alibaba|59900004607,NEW,2026-03-17 01:00:03
official_alibaba|59900004609,NEW,2026-03-17 01:00:03
official_alibaba|59900004608,NEW,2026-03-17 01:00:03
official_alibaba|59900003837,NEW,2026-03-17 01:00:03
official_alibaba|59900004903,NEW,2026-03-17 01:00:03
official_alibaba|59900004902,NEW,2026-03-17 01:00:03
official_alibaba|59900005605,NEW,2026-03-17 01:00:03
official_alibaba|59900005803,NEW,2026-03-17 01:00:03
official_alibaba|59900005502,NEW,2026-03-17 01:00:03
official_alibaba|59900005604,NEW,2026-03-17 01:00:03
official_alibaba|59900004907,NEW,2026-03-17 01:00:03
official_alibaba|59900003738,NEW,2026-03-17 01:00:03
official_alibaba|59900005201,NEW,2026-03-17 01:00:03
official_alibaba|59900004427,NEW,2026-03-17 01:00:03
official_alibaba|59900005001,NEW,2026-03-17 01:00:03
official_alibaba|59900005101,NEW,2026-03-17 01:00:03
official_alibaba|59900005102,NEW,2026-03-17 01:00:03
official_alibaba|59900004906,NEW,2026-03-17 01:00:03
official_alibaba|59900004706,NEW,2026-03-17 01:00:03
official_alibaba|59900004610,NEW,2026-03-17 01:00:03
official_alibaba|59900004614,NEW,2026-03-17 01:00:03
official_alibaba|59900003731,NEW,2026-03-17 01:00:03
official_alibaba|59900003836,NEW,2026-03-17 01:00:03
official_alibaba|59900004422,NEW,2026-03-17 01:00:03
official_alibaba|59900003735,NEW,2026-03-17 01:00:03
official_alibaba|59900004809,NEW,2026-03-17 01:00:03
official_alibaba|59900003737,NEW,2026-03-17 01:00:03
official_alibaba|59900004235,NEW,2026-03-17 01:00:03
official_alibaba|59900003838,NEW,2026-03-17 01:00:03
official_alibaba|59900004806,NEW,2026-03-17 01:00:03
official_alibaba|59900003739,NEW,2026-03-17 01:00:03
official_alibaba|59900004807,NEW,2026-03-17 01:00:03
official_alibaba|59900003742,NEW,2026-03-17 01:00:03
official_alibaba|59900004802,NEW,2026-03-17 01:00:03
official_alibaba|59900004803,NEW,2026-03-17 01:00:03
official_alibaba|59900003740,NEW,2026-03-17 01:00:03
official_alibaba|59900004428,NEW,2026-03-17 01:00:03
official_alibaba|59900004613,NEW,2026-03-17 01:00:03
official_alibaba|59900004709,NEW,2026-03-17 01:00:03
official_alibaba|59900003733,NEW,2026-03-17 01:00:03
official_alibaba|59900003734,NEW,2026-03-17 01:00:03
official_meituan|4213821584,CLOSED,2026-03-17 01:00:03
official_meituan|3375668772,CLOSED,2026-03-17 01:00:03
official_meituan|3155393936,CLOSED,2026-03-17 01:00:03
official_meituan|3154001160,CLOSED,2026-03-17 01:00:03
official_meituan|3153761150,CLOSED,2026-03-17 01:00:03
