job_name,company_name,location,city,district,salary,salary_min,salary_max,salary_unit,salary_count,job_type,employment_type,experience_requirement,education_requirement,platform,source_job_id,source_keyword,jd_url,jd_content,job_description,job_requirement,job_tags,skill_tags,company_industry,company_stage,company_size,welfare_tags,publish_date,crawl_time,publish_time,source_platform,recruit_type,financing_round,welfare_tag,unique_id,value_score,score_reasons
算法开发实习生,百度,上海-普陀区,上海,普陀区,250-350元/天,250,350,元/天,,实习,实习,,,猎聘,liepin_实习_1_5_5,实习,https://www.liepin.com/job/liepin_实习_1_5_5.shtml,"【岗位名称】算法开发实习生
【公司名称】百度
【工作地点】上海-普陀区
【薪资待遇】250-350元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 250-350元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_1_5_5.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,自如,上海-奉贤区,上海,奉贤区,250-300元/天,250,300,元/天,,实习,实习,,,猎聘,liepin_实习_2_14_34,实习,https://www.liepin.com/job/liepin_实习_2_14_34.shtml,"【岗位名称】算法开发实习生
【公司名称】自如
【工作地点】上海-奉贤区
【薪资待遇】250-300元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 250-300元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_2_14_34.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,融信,上海-静安区,上海,静安区,150-350元/天,150,350,元/天,,实习,实习,,,猎聘,liepin_实习_4_3_63,实习,https://www.liepin.com/job/liepin_实习_4_3_63.shtml,"【岗位名称】算法开发实习生
【公司名称】融信
【工作地点】上海-静安区
【薪资待遇】150-350元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 150-350元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_4_3_63.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,传媒集团,上海-松江区,上海,松江区,200-250元/天,200,250,元/天,,实习,实习,,,猎聘,liepin_实习_5_12_92,实习,https://www.liepin.com/job/liepin_实习_5_12_92.shtml,"【岗位名称】算法开发实习生
【公司名称】传媒集团
【工作地点】上海-松江区
【薪资待遇】200-250元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 200-250元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_5_12_92.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,360,上海-徐汇区,上海,徐汇区,150-450元/天,150,450,元/天,,实习,实习,,,猎聘,liepin_实习_7_1_121,实习,https://www.liepin.com/job/liepin_实习_7_1_121.shtml,"【岗位名称】算法开发实习生
【公司名称】360
【工作地点】上海-徐汇区
【薪资待遇】150-450元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 150-450元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_7_1_121.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,万科,上海-嘉定区,上海,嘉定区,300-600元/天,300,600,元/天,,实习,实习,,,猎聘,liepin_实习_8_10_150,实习,https://www.liepin.com/job/liepin_实习_8_10_150.shtml,"【岗位名称】算法开发实习生
【公司名称】万科
【工作地点】上海-嘉定区
【薪资待遇】300-600元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 300-600元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_8_10_150.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,公交集团,上海-陆家嘴,上海,,400-450元/天,400,450,元/天,,实习,实习,,,猎聘,liepin_实习_9_19_179,实习,https://www.liepin.com/job/liepin_实习_9_19_179.shtml,"【岗位名称】算法开发实习生
【公司名称】公交集团
【工作地点】上海-陆家嘴
【薪资待遇】400-450元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 400-450元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_9_19_179.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,拼多多,上海-闵行区,上海,闵行区,250-400元/天,250,400,元/天,,实习,实习,,,猎聘,liepin_实习_11_8_208,实习,https://www.liepin.com/job/liepin_实习_11_8_208.shtml,"【岗位名称】算法开发实习生
【公司名称】拼多多
【工作地点】上海-闵行区
【薪资待遇】250-400元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 250-400元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_11_8_208.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,猎聘,上海-漕河泾,上海,,200-300元/天,200,300,元/天,,实习,实习,,,猎聘,liepin_实习_12_17_237,实习,https://www.liepin.com/job/liepin_实习_12_17_237.shtml,"【岗位名称】算法开发实习生
【公司名称】猎聘
【工作地点】上海-漕河泾
【薪资待遇】200-300元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 200-300元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_12_17_237.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
算法开发实习生,旭辉,上海-虹口区,上海,虹口区,300-400元/天,300,400,元/天,,实习,实习,,,猎聘,liepin_实习_14_6_266,实习,https://www.liepin.com/job/liepin_实习_14_6_266.shtml,"【岗位名称】算法开发实习生
【公司名称】旭辉
【工作地点】上海-虹口区
【薪资待遇】300-400元/天
【岗位职责】
1. 负责算法相关业务的开发和维护工作
2. 参与技术方案设计、代码编写和单元测试
3. 与产品、设计、测试等团队紧密配合，推动项目进展
4. 持续优化系统性能，提升用户体验
5. 编写技术文档，进行技术分享
【任职要求】
1. 计算机相关专业本科及以上学历，实习优先
2. 熟悉机器学习, 深度学习, Python等技术栈
3. 具备良好的编程习惯和代码规范意识
4. 有较强的学习能力和问题解决能力
5. 良好的沟通能力和团队协作精神
6. 每周至少实习4天，实习期3个月以上
【薪资福利】
- 300-400元/天，按月发放
- 五险一金，带薪年假
- 专业培训，导师指导
- 转正机会，优先录用
- 团建活动、节日福利
【关键词】实习
【来源】猎聘
【发布时间】2026-03-27","1. 负责算法开发和维护
2. 参与技术方案设计
3. 编写代码和单元测试
4. 优化系统性能
5. 编写技术文档","1. 计算机相关专业本科及以上
2. 熟悉机器学习, 深度学习, Python
3. 良好的编程习惯
4. 学习能力强
5. 沟通协作能力好
6. 每周实习4天以上",机器学习|深度学习|Python|TensorFlow,机器学习|深度学习|Python|TensorFlow,,,,,2026-03-27,2026-03-27 16:44:18,2026-03-27,猎聘,实习,,,https://www.liepin.com/job/liepin_实习_14_6_266.shtml|算法开发实习生,31,实习+6 | 来源猎聘+5 | 3天内发布+10 | 算法+10
