platform,source,company_name,job_name,location,salary_text,education,experience,url,publish_date,job_description,job_requirement
51job,51job,华测检测认证集团股份有限公司,环境分析实习生--27届,上海·闵行区,3千及以下,本科,无需经验,https://jobs.51job.com/shanghai-mhq/171581675.html?s=sou_sou_soulb&t=0_0&req=audit51_2,2026-04-14 10:44:29,,
51job,51job,上海蔚星科技有限公司,AI算法实习生（遥感应用方向）,上海·闵行区,5千-1万,本科,无需经验,https://jobs.51job.com/shanghai-mhq/171406742.html?s=sou_sou_soulb&t=0_0&req=audit51_3,2026-04-02 16:04:51,,
51job,51job,科或（上海）电子有限公司,AI产品应用实习生,上海·闵行区,5-8千,本科,无需经验,https://jobs.51job.com/shanghai-mhq/171355140.html?s=sou_sou_soulb&t=0_0&req=audit51_3,2026-03-31 14:52:44,,
51job,51job,佰联智合（上海）医药有限公司,蛋白AI设计工程师（实习岗）,上海·浦东新区,1-2万·13薪,硕士,1年及以上,https://jobs.51job.com/shanghai-pdxq/170381924.html?s=sou_sou_soulb&t=0_0&req=audit51_3,2026-02-02 10:35:15,,
51job,51job,毕克助剂（上海）有限公司,研发分析实习生,上海·奉贤区,180元/天,硕士,无需经验,https://jobs.51job.com/shanghai-fxq/171136202.html?s=sou_sou_soulb&t=0_0&req=audit51_5,2026-03-25 10:13:22,,
51job,51job,上海莱升信息科技有限公司,大四实习生（企业级AI应用方向）,上海·黄浦区,3-6千,本科,无需经验,https://jobs.51job.com/shanghai-hpq/169817737.html?s=sou_sou_soulb&t=0_0&req=audit51_6,2025-12-15 13:26:18,,
51job,51job,上海络川科技有限公司,AI漫剧制作人[兼职/实习],上海·浦东新区,100元/天,大专,1年及以上,https://jobs.51job.com/shanghai-pdxq/171198051.html?s=sou_sou_soulb&t=0_0&req=audit51_6,2026-03-23 11:01:06,,
51job,51job,泰科电子（上海）有限公司,数字化实习生-AI方向,上海·徐汇区,170元/天,本科,无需经验,http://te.51job.com/show_job_detail.html?jobid=169459511,2026-04-14 13:47:41,,
51job,51job,上海必盈特软件系统有限公司,数据工程师（实习生）,上海·普陀区,4-5.5千,本科,无需经验,https://jobs.51job.com/shanghai-ptq/159978384.html?s=sou_sou_soulb&t=0_0&req=audit51_8,2026-04-09 09:50:00,,
51job,51job,上海兰台信息技术有限公司,数字化档案管理实习生,上海·黄浦区,3-3.5千,中技/中专,无需经验,https://jobs.51job.com/shanghai-hpq/146151038.html?s=sou_sou_soulb&t=0_0&req=audit51_12,2026-01-20 14:51:51,,
51job,51job,喜利得（上海）有限公司,数据分析实习生 Data Analysis Intern,上海·闵行区,3.3-4.4千,本科,无需经验,https://jobs.51job.com/shanghai-mhq/163341775.html?s=sou_sou_soulb&t=0_0&req=audit51_15,2026-04-14 15:07:51,,
51job,51job,佰联智合（上海）医药有限公司,蛋白AI设计工程师（实习岗）,上海·浦东新区,1-2万·13薪,硕士,1年及以上,https://jobs.51job.com/shanghai-pdxq/170381924.html?s=sou_sou_soulb&t=0_0&req=audit51_13,2026-02-02 10:35:15,,
network,websearch,BASF,"Intern, Digital Platform Developer & Data Analysis",Shanghai,,,,"https://basf.jobs/light_blue_AP/job/SHANGHAI-Intern,-Digital-Platform-Developer-&-Data-Analysis-(006991)-200000/1248423101/",,,
network,websearch,Siemens,数据策略实习生 Data Intern,Shanghai,,,,https://m.liepin.com/lptjob/69374041?pgRef=c_h5_company_page%3Ac_h5_company_job_listcard%406_69374041%3A1%3Agw.e7d6e393-36186052,,,
network,websearch,Siemens,销售/市场/商务部门助理实习生,Shanghai,,,,https://m.liepin.com/job/1958331057.shtml,,,
network,websearch,Roche,Data Scientist,Unknown,,,,https://www.linkedin.com/jobs/view/data-scientist-at-roche-4212179049,,,
network,websearch,Roche,Recruitment Intern,Shanghai,,,,https://cn.linkedin.com/jobs/view/recruitment-intern-at-roche-diagn%C3%B3stica-brasil-4248037122?refId=a5CXfFKHxhEhMWElZFPRnQ==&trackingId=Sj0fc0kEWqohIoNFhsO2BA==,,,
network,websearch,Pfizer,Pfizer Jobs in Shanghai,Shanghai,,,,"https://www.glassdoor.com/Jobs/Pfizer-Shanghai-Jobs-EI_IE525.0,6_IL.7,15_IM999.htm",,,
network,websearch,Pfizer,Pfizer Intern Interview (SAS programmer),Shanghai,,,,"https://www.glassdoor.com/Interview/Pfizer-Intern-Interview-Questions-EI_IE525.0,6_KO7,13_IP2.htm?sort.ascending=true&sort.sortType=D",,,
network,websearch,Unknown MNC,Statistics intern jobs in China,China,,,,"https://www.glassdoor.com/Job/china-statistics-intern-jobs-SRCH_IL.0,5_IN48_KO6,23.htm",,,
network,websearch,Unknown MNC,Operations intern jobs in Shanghai,Shanghai,,,,"https://www.glassdoor.com/Job/xangai-operations-intern-jobs-SRCH_IL.0,6_IS4168_KO7,24.htm",,,
network,websearch,LinkedIn aggregate,实习职位（中国）,China,,,,https://cn.linkedin.com/jobs/%E5%AE%9E%E4%B9%A0%E5%B0%8F%E7%BB%84-%E8%81%8C%E4%BD%8D,,,
