platform,source,keyword_group,page,job_id,job_name,company_name,location,salary_text,education,experience,url,publish_date,job_description,job_requirement,company_industry,company_size,company_finance_stage,headcount,list_deadline
liepin,liepin,医药 实习,1.0,78021865,医药行业分析实习生,北京若生智能科技有限公司,,150-250元/天,,,https://www.liepin.com/lptjob/78021865,20251027135350,,,,1-49人,,,
liepin,liepin,医药 实习,1.0,79423441,AI（人工智能）方向（生物医药应用）实习生,上海大零号湾投资发展(集团)有限公司,,120元/天,,,https://www.liepin.com/lptjob/79423441,20251229082756,,,,100-499人,,,
liepin,liepin,医药 实习,1.0,74939581,数据分析实习生（医药数据方向）,医药魔方,,120-200元/天,,,https://www.liepin.com/lptjob/74939581,20250805140759,,,,100-499人,,,
liepin,liepin,医疗 实习,1.0,21073123,投资分析师实习生（医疗医药行业）,深圳中恒星光金融控股有限公司,,150000元/月,,,https://www.liepin.com/lptjob/21073123,20200401170040,,,,1-49人,,,
liepin,liepin,医疗 实习,1.0,77634359,数据分析实习生（医疗器械方向）,医药魔方,,120-200元/天,,,https://www.liepin.com/lptjob/77634359,20260331180511,,,,100-499人,,,
liepin,liepin,医疗 实习,1.0,67133055,HCG策略研发部_医疗大模型数据挖掘实习生,Baidu,,200-250元/天,,,https://www.liepin.com/lptjob/67133055,20240712151811,,,,10000人以上,,,
liepin,liepin,医疗 实习,1.0,66156307,医疗投资分析实习生（有留用）,宇杉资本,,150-200元/天,,,https://www.liepin.com/lptjob/66156307,20260413100202,,,,1-49人,,,
liepin,liepin,医疗 实习,1.0,78222101,行业分析实习生-医疗健康行业,上海牛氪科技服务有限公司,,150-200元/天,,,https://www.liepin.com/lptjob/78222101,20251105091205,,,,1-49人,,,
liepin,liepin,化工 实习,1.0,78131511,实习生_CFD仿真分析,苏尔寿化工(上海)有限公司,,120-150元/天,,,https://www.liepin.com/lptjob/78131511,20251031094805,,,,500-999人,,,
liepin,liepin,半导体 实习,1.0,74971177,投资岗实习生-AI半导体方向,琢石投资,,150-200元/天,,,https://www.liepin.com/lptjob/74971177,20260415152717,,,,1-49人,,,
liepin,liepin,半导体 实习,1.0,71612289,研究分析实习生,新微科技集团,,120-150元/天,,,https://www.liepin.com/lptjob/71612289,20250321163012,,,,1000-2000人,,,
liepin,liepin,零售 实习,1.0,79326295,AI智能眼镜展厅运营实习,远景体育用品,,80-150元/天,,,https://www.liepin.com/lptjob/79326295,20251223152544,,,,,,,
liepin,liepin,数据 实习,1.0,81398787,ai 数据intern,上海正势达咨询管理合伙企业(有限合伙),,150-200元/天,,,https://www.liepin.com/lptjob/81398787,20260331175317,,,,1-49人,,,
liepin,liepin,数据 实习,1.0,73288613,数据分析实习生（国际物流）,美设国际物流集团股份有限公司,,150-180元/天,,,https://www.liepin.com/lptjob/73288613,20250320172635,,,,1000-2000人,,,
liepin,liepin,数据 实习,1.0,80834077,人力资源数据分实习生,微创医疗,,120-150元/天,,,https://www.liepin.com/lptjob/80834077,20260420114816,,,,10000人以上,,,
liepin,liepin,数据 实习,1.0,81522141,临床数据管理实习生 Clinical Data Management Intern,Caidya,,150-200元/天,,,https://www.liepin.com/lptjob/81522141,20260407095434,,,,1000-2000人,,,
liepin,liepin,数据 实习,1.0,79951899,机器人数据采集工程师（实习生）,上海德迩实业集团有限公司,,150-200元/天,,,https://www.liepin.com/lptjob/79951899,20260417131459,,,,2000-5000人,,,
liepin,liepin,数据 实习,1.0,78788221,数据平台开发实习生,金光纸业,,100-150元/天,,,https://www.liepin.com/lptjob/78788221,20251128112403,,,,10000人以上,,,
liepin,liepin,数据 实习,1.0,75923759,客户运营实习生(数据/策略),芈智广告传媒(上海)有限公司,,150-200元/天,,,https://www.liepin.com/lptjob/75923759,20250721172103,,,,50-99人,,,
liepin,liepin,数据 实习,1.0,81144477,大数据实习生,金光纸业,,150元/天,,,https://www.liepin.com/lptjob/81144477,20260325174050,,,,10000人以上,,,
liepin,liepin,数据 实习,1.0,81049395,数据分析实习生,上海姚记科技股份有限公司,,120-150元/天,,,https://www.liepin.com/lptjob/81049395,20260318153306,,,,1000-2000人,,,
liepin,liepin,数据 实习,1.0,80624567,数据仓库工程师（2027届实习）(MJ033358),携程集团,,薪资面议,,,https://www.liepin.com/lptjob/80624567,20260304110444,,,,10000人以上,,,
liepin,liepin,数据 实习,1.0,80148441,PNC实习生（模型/数据/仿真评测任选）,深圳青芒机器人科技有限公司,,250-400元/天,,,https://www.liepin.com/lptjob/80148441,20260203110923,,,,100-499人,,,
liepin,liepin,数据 实习,1.0,69562869,数据分析实习生,中国太平洋人寿保险股份有限公司,,薪资面议,,,https://www.liepin.com/lptjob/69562869,20240906150805,,,,10000人以上,,,
liepin,liepin,数据 实习,1.0,81902989,实习生（AI酶工程数据）-上海,武汉瀚海新酶生物科技有限公司,,120-200元/天,,,https://www.liepin.com/lptjob/81902989,20260420132150,,,,100-499人,,,
liepin,liepin,数据 实习,1.0,78787683,数据仓库开发实习生,金光纸业,,100-150元/天,,,https://www.liepin.com/lptjob/78787683,20251128111518,,,,10000人以上,,,
liepin,liepin,分析 实习,1.0,79608183,市场营销数据分析实习生,勘讯企业咨询服务(上海)有限公司,,150-250元/天,,,https://www.liepin.com/lptjob/79608183,20260402094625,,,,1-49人,,,
liepin,liepin,分析 实习,1.0,78673171,数据分析实习生 - 市场营销方向,勘讯企业咨询服务(上海)有限公司,,150-250元/天,,,https://www.liepin.com/lptjob/78673171,20260402094625,,,,1-49人,,,
liepin,liepin,分析 实习,1.0,78625733,市场洞察及分析实习生,GS capsule,,100元/天,,,https://www.liepin.com/lptjob/78625733,20260407112850,,,,1000-2000人,,,
liepin,liepin,分析 实习,1.0,81193131,商业分析实习生(J11329),艾兰得,,120-150元/天,,,https://www.liepin.com/lptjob/81193131,20260403093523,,,,2000-5000人,,,
liepin,liepin,分析 实习,1.0,74307919,分析中心实习生,上海奥浦迈生物科技股份有限公司,,120-200元/天,,,https://www.liepin.com/lptjob/74307919,20260407110304,,,,100-499人,,,
liepin,liepin,分析 实习,1.0,81034415,财务实习生（财务分析方向）,复星医药集团,,120-150元/天,,,https://www.liepin.com/lptjob/81034415,20260318105322,,,,10000人以上,,,
liepin,liepin,分析 实习,1.0,70039061,化学分析实习生,上海时莱生物技术有限公司,,120-200元/天,,,https://www.liepin.com/lptjob/70039061,20241127104057,,,,1-49人,,,
liepin,liepin,分析 实习,1.0,66321423,数据分析实习生,上海心领数据科技有限公司,,150-250元/天,,,https://www.liepin.com/lptjob/66321423,20240417135848,,,,1-49人,,,
liepin,liepin,分析 实习,1.0,53888239,数据分析实习生 - 市场营销方向,勘讯企业咨询服务(上海)有限公司,,150-250元/天,,,https://www.liepin.com/lptjob/53888239,20250124151421,,,,1-49人,,,
liepin,liepin,商业分析 实习,1.0,76922121,Business Analyst Intern商业分析实习生,上海港意诺管理顾问有限公司,,150元/天,,,https://www.liepin.com/lptjob/76922121,20250902155723,,,,1-49人,,,
liepin,liepin,商业分析 实习,1.0,77604561,商业分析实习生,TEA EXPLORER PTE. LTD.,,150元/天,,,https://www.liepin.com/lptjob/77604561,20251127133528,,,,100-499人,,,
liepin,liepin,商业分析 实习,1.0,75555701,商业分析实习生（消费场景业务）,信也科技,,200-250元/天,,,https://www.liepin.com/lptjob/75555701,20250704112954,,,,5000-10000人,,,
liepin,liepin,商业分析 实习,1.0,75366675,商业分析实习生（墨西哥业务）,信也科技,,200-250元/天,,,https://www.liepin.com/lptjob/75366675,20250625163728,,,,5000-10000人,,,
liepin,liepin,商业分析 实习,1.0,74784415,商业分析实习生（印尼业务）,信也科技,,薪资面议,,,https://www.liepin.com/lptjob/74784415,20250528202524,,,,5000-10000人,,,
liepin,liepin,商业分析 实习,1.0,75515915,Global Market Intelligence & Strategy Intern,复星医药集团,,120-200元/天,,,https://www.liepin.com/lptjob/75515915,20260318104813,,,,10000人以上,,,
liepin,liepin,商业分析 实习,1.0,74907255,数据分析实习生,交银金科,,薪资面议,,,https://www.liepin.com/lptjob/74907255,20260302113131,,,,100-499人,,,
liepin,liepin,商业分析 实习,1.0,81433481,数据运营实习生,芬欧汇川(中国)有限公司,,200元/天,,,https://www.liepin.com/lptjob/81433481,20260401173840,,,,1000-2000人,,,
liepin,liepin,商业分析 实习,2.0,80516579,AI产品实习生,上海途鸽数据科技有限公司,,200-250元/天,,,https://www.liepin.com/lptjob/80516579,20260303154111,,,,100-499人,,,
liepin,liepin,BI 实习,1.0,74061761,数字化转型咨询与BI项目实习生（非程序员岗）,AMT企源,,150元/天,,,https://www.liepin.com/lptjob/74061761,20260420091820,,,,1000-2000人,,,
liepin,liepin,BI 实习,1.0,79319853,数字化实习生-数据分析,泰科电子（上海）有限公司,,180-200元/天,,,https://www.liepin.com/lptjob/79319853,20251223132326,,,,10000人以上,,,
liepin,liepin,BI 实习,1.0,79884045,Internship in Strategy & Data Science,易启捷思(上海)数据科技有限公司,,150元/天,,,https://www.liepin.com/lptjob/79884045,20260120163344,,,,1-49人,,,
liepin,liepin,BI 实习,1.0,61465237,Strategy & Consulting Intern,朗高投资咨询(上海)有限公司,,150元/天,,,https://www.liepin.com/lptjob/61465237,20250423094233,,,,100-499人,,,
liepin,liepin,产品 实习,1.0,73346239,AIGC产品经理实习生,探势健康TensorHealth,,200-250元/天,,,https://www.liepin.com/lptjob/73346239,20250324142206,,,,1-49人,,,
liepin,liepin,市场 实习,1.0,75679877,海外市场实习生（机器人/AI方向）,上海浩海星空机器人有限公司,,100-200元/天,,,https://www.liepin.com/lptjob/75679877,20250714211045,,,,1-49人,,,
liepin,liepin,战略 实习,1.0,80674177,财务战略及分析实习生(J10769),迈威生物,,150-200元/天,,,https://www.liepin.com/lptjob/80674177,20260305143452,,,,1000-2000人,,,
liepin,liepin,增长 实习,1.0,81628159,AI产品实习生,上海艾哲智网络科技有限公司,,200-250元/天,,,https://www.liepin.com/lptjob/81628159,20260409165319,,,,1000-2000人,,,
liepin,liepin,增长 实习,1.0,76725247,数据分析实习生（海外业务）,易鑫,,150-200元/天,,,https://www.liepin.com/lptjob/76725247,20250825160907,,,,2000-5000人,,,
liepin,liepin,财务 实习,1.0,75455215,Finance intern 财务分析实习生,马瑞利汽车零部件(芜湖)有限公司上海分公司,,120-150元/天,,,https://www.liepin.com/lptjob/75455215,20260420131437,,,,100-499人,,,
liepin,liepin,财务 实习,1.0,81670301,财务分析实习生,Caidya,,120-150元/天,,,https://www.liepin.com/lptjob/81670301,20260410182119,,,,1000-2000人,,,
liepin,liepin,财务 实习,1.0,19696699,Corporate Finance Intern Analyst 企业融资部（投行）分析师实习生,孔雀投资咨询(上海)有限公司,,250元/天,,,https://www.liepin.com/lptjob/19696699,20200123112340,,,,50-99人,,,
liepin,liepin,测试 实习,1.0,81498089,AI大模型测试实习生,上海爱者智能科技有限公司,,150-200元/天,,,https://www.liepin.com/lptjob/81498089,20260403162912,,,,50-99人,,,
liepin,liepin,算法 实习,1.0,81309045,AI算法实习生,上海帧观科技有限公司,,300-400元/天,,,https://www.liepin.com/lptjob/81309045,20260327165945,,,,50-99人,,,
liepin,liepin,算法 实习,1.0,80881337,AI算法实习生（工业）(MJ000217),华院计算,,150-250元/天,,,https://www.liepin.com/lptjob/80881337,20260312153400,,,,100-499人,,,
liepin,liepin,算法 实习,1.0,74514521,AI+几何建模算法开发实习生,合肥九韶智能科技有限公司,,150-200元/天,,,https://www.liepin.com/lptjob/74514521,20251225175329,,,,50-99人,,,
liepin,liepin,前端 实习,1.0,74829775,前端开发实习生（Vue方向 · 图谱可视化 / 原型设计 / AI 编程协作）,上海瀛太信息科技有限公司,,200-400元/天,,,https://www.liepin.com/lptjob/74829775,20260415103501,,,,50-99人,,,
liepin,liepin,后端 实习,1.0,80808165,后端开发实习生（AI系统方向）,上海相形无迹科技有限公司,,200-400元/天,,,https://www.liepin.com/lptjob/80808165,20260310165502,,,,50-99人,,,
liepin,liepin,后端 实习,1.0,81694779,大模型 / AI Agent 后端研发实习生（Python）,艾尔维汽车工程技术,,150-200元/天,,,https://www.liepin.com/lptjob/81694779,20260413100207,,,,100-499人,,,
liepin,liepin,后端 实习,1.0,78368275,AI后端开发实习生,智能起源(上海)科技有限公司,,300-500元/天,,,https://www.liepin.com/lptjob/78368275,20251111110945,,,,1-49人,,,
liepin,liepin,500强 实习,1.0,78468675,AI工作室诚招实习生,上海霖时文化传媒有限公司,,0-20元/天,,,https://www.liepin.com/lptjob/78468675,20260122105609,,,,1-49人,,,
network,websearch,,,,数字化实习生/Digitalization Intern,依必安派特电机(上海)有限公司,上海,,本科,实习,https://m.liepin.com/job/1974570865.shtml,,,,,,,,
network,websearch,,,,数据分析实习生-市场营销方向,勘讯企业咨询服务(上海)有限公司,上海,,本科,实习,https://m.liepin.com/job/1978673171.shtml,,,,,,,,
